ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
7799964,comment,7799520,7799900,12,0,furyofantares,,,"There is no need to use sarcasm, you can just inform the person you are replying to without trying to belittle them",1401116387
7799963,comment,7799524,7799766,3,0,rffn,,,"IMHO Python 2 is one of the big, important languages of computing history with a large enough user and code base which makes them go nowhere, no matter what a committee decides. I would put Cobol, C, Perl, Java, Fortran in the same league. Like &#x27;em or not - they are here to stay.",1401116376
7799962,comment,7799520,7799830,3,0,logn,,,"I am guessing that not getting an advance, having to hire people, and having to pay people prior to revenue is a difficult transition.<p>If the music industry is any guide, the writers will adapt. And if the software industry is any guide, then we do need an Amazon competitor.",1401116372
7799961,comment,7799807,7799807,24,0,c16,,,"I don&#x27;t see why schools should be able to tell if a student is revising last minute. Why should they care? Pass the exam is all that&#x27;s required. No revision method is perfect, and being dyslexic I know the way I work differs from how my friends work. Scary is what this is.",1401116338
7799960,comment,7799502,7799635,1,0,wlievens,,,"Surely you have a few dozen billion dollars lying around?",1401116313
7799959,comment,7799644,7799850,1,0,pavelgavlik,,,"> &quot;The most used preprocessor with a kick-ass mixin library&quot; Is this true?<p>Well, if I look at GitHub stars (not the best metric, but still), then less.js has about 3x more stars than sass.<p>> I haven&#x27;t looked for actual numbers, but most FE devs I talk to use sass. We use node-sass + autoprefixer and it compiles orders of magnitude faster than compass+sass and means you don&#x27;t have a dependency on ruby (or php like Less).<p>I like node-sass as well. It would be great to have something similar and popular enough for LESS. Official Javascript-based compiler isn&#x27;t sometimes fast enough.<p>> Also, gulp is much faster than grunt which is especially noticeable on large projects.<p>Yes, Gulp is great in many ways and Phở uses it as a task runner.",1401116309
7799958,comment,7799687,7799687,20,0,RobotCaleb,,,"They&#x27;re a problem on non-mobile, as well. If the bar is over content, but the scrollbar isn&#x27;t adjusted for it, pressing space or pagedown doesn&#x27;t move down one page worth of visible content. I don&#x27;t get why breaking pagedown is acceptable. It&#x27;s my preferred way to read long text.",1401116298
7799957,comment,7797387,7798181,2,0,mlambir,,,"I&#x27;d say the same about closed source software...",1401116297
7799956,story,,,1,0,zdw,"Titus – Totally Isolated TLS Unwrapping Server",https://www.opsmate.com/titus/,,1401116284
7799955,comment,7799261,7799711,2,0,Aardwolf,,,"By that logic, the webserver would be the last thing in front of the user, their router, their ISP, whatever...",1401116281
7799954,comment,7799520,7799757,1,0,mattchew,,,"I don&#x27;t think Amazon is a monopoly in the sense of controlling the market. They&#x27;re certainly the dominant player, but it&#x27;s easy enough to buy an ebook from somewhere else.<p>I do not see how Amazon starts squeezing authors hard without losing them to somewhere else.",1401116265
7799953,comment,7799557,7799557,2,0,sprremix,,,"Cached (Text-only): <a href=""http://webcache.googleusercontent.com/search?q=cache:http://www.re-cycledair.com/restoring-a-14-year-old-website"" rel=""nofollow"">http://webcache.googleusercontent.com/search?q=cache:http://...</a>",1401116235
7799952,story,,,1,0,Riseed,"NerdWallet Health Finds Medical Bills Are Biggest Cause of US Bankruptcies",http://www.nerdwallet.com/blog/health/2014/03/26/medical-bankruptcy/,"NerdWallet Health finds Medical Bills Are Biggest Cause of US Bankruptcies",1401116232
7799951,comment,7799698,7799825,2,0,mbrock,,,"Well, it&#x27;s not just wild speculation: it&#x27;s based on his interpretation of ancient literature and archaelogy. Since the hypothesis is fundamentally about the subjective experience of (illiterate and long dead) people, it&#x27;s naturally hard to verify or disprove.<p>But to me, Jaynes&#x27;s theory seems to shine a lot of light on certain phenomena: the prevalence of statuettes in tombs; the injunctive tone and form of common schizophrenic hallucinations; specific artworks like the Homeric poems, the Bible, and the altar of Tukulti-Ninurta I; and so on.<p>Daniel Dennett wrote an article about the book, in which he states that he &quot;takes it very seriously&quot;: <a href=""http://www.julianjaynes.org/pdf/dennett_jaynes-software-archeology.pdf"" rel=""nofollow"">http://www.julianjaynes.org/pdf/dennett_jaynes-software-arch...</a><p>A quote from that review that I think portrays the book quite fairly:<p>&quot;Now, when Julian Jaynes tells his story he doesn’t say that it is a just-so story. He doesn’t say it is just a sort of guess at how it might have been. He claims to be telling the historical truth as best as he can figure it out. But he is also clever enough to realize that if he doesn’t have the details just right, then some other story which is in very important respects rather like it must be true. So the whole account is put together by a rather interesting amalgam of aprioristic thinking about how it had to be, historical sleuthing, and inspired guesswork. He uses aprioristic reasoning to establish that we have to have travelled from point A to point B by some route—where and when the twists come is an interesting empirical question. He flavors and deepens and constrains his aprioristic thinking about how it had to be with whatever he can find about how it was and he lets his imagination go as fertile as he can and clutches at whatever straws he can find in the &#x27;fossil record.&#x27;&quot;",1401116228
7799949,comment,7799524,7799921,3,0,neals,,,"Yes, honest question. I&#x27;ve never written a line of python. How hard is it to port 2 -> 3?",1401116207
7799948,comment,7799520,7799919,3,0,Turing_Machine,,,"1) Amazon doesn&#x27;t want you to charge their customers more than you charge their competitors&#x27; customers (i.e., not rip off their customers). Not &quot;onerous&quot;.<p>2) Amazon wants you to sell your ebook for less than the paper edition (i.e., not rip off their customers). Also not &quot;onerous&quot;.<p>And of course you CAN do both of these things. You&#x27;ll just get 35% rather than 70%. Which is still more than 2X what you&#x27;ll get from a traditional publisher.",1401116198
7799947,comment,7799524,7799939,9,0,illumen,,,"It&#x27;s not just an ad hominem attack. I counter a number of his claims.  The author provides NO evidence for any of the rubbish he&#x27;s talking about.",1401116174
7799946,comment,7799698,7799798,2,0,brudgers,,,"In which one should it be kept?<p>Any theory of mind - unicameral, bicameral, polycameral - is naught but an hypothesis because the claim that there are such things as minds is itself an hypothesis. One that for some is as scientifically plausible as souls and essences...or consciousness.<p>If one wants to argue over the material character of the mind, bicameralism seems a bit late to be drawing a line in the sand. The enemy has landed, breached the city walls and occupies the lower floors of the innermost keep.<p>I read Jaynes  about twenty years ago. It&#x27;s thoughtful and entertaining and it&#x27;s ideas plausible...what is this voice that formulates these words as I type? Certainly better than Penrose who was running rampant over the alt.philosophy at the time. Jaynes is very readable.",1401116174
7799945,comment,7799698,7799878,5,0,arethuza,,,"I guess it&#x27;s a hack around the rules on HN submission titles - and that title is definitely more interesting than &quot;Bicameralism (psychology)&quot;.",1401116165
7799944,comment,7799687,7799687,2,0,lukasm,,,"FYI one plugin that does that is <a href=""http://wicky.nillia.ms/headroom.js/"" rel=""nofollow"">http://wicky.nillia.ms/headroom.js/</a>",1401116138
7799943,comment,7799524,7799524,11,0,dj-wonk,,,"Re: &quot;There are other solutions, but reviving Python 2 is so obviously the correct thing to do, that other solutions are not worth mentioning.&quot;<p>I don&#x27;t even know how to respond to such &quot;logic&quot;.",1401116121
7799942,comment,7799502,7799679,1,0,rjsw,,,"Didn&#x27;t the NRO give NASA a couple of sets of optics from older spec Keyhole satellites ?",1401116121
7799941,comment,7799698,7799698,5,0,Gravityloss,,,"Maybe this criticism is old hat, but I can&#x27;t avoid thinking about it.<p>You would assume that there would still be lots of people living in this bicameral state, as human populations have been very fragmented for the last few thousand years.<p>But as far as I know, there aren&#x27;t any.<p>It would seem extremely unlikely that such developments would have occurred worldwide in isolated populations at the same time.<p>It is well documented that various people (be it indigenous or &quot;western&quot;) use hallucinatory drugs to get into states with reduced sense of reality. They do not live like that all the time, and indeed could not survive so.",1401116102
7799940,comment,7799524,7799909,13,0,illumen,,,"Numpy works really nicely on python 3.<p>Numpy was ported to python3 years ago.  It was one of the first libraries who rolled up their sleeves and did the work for the good of the python community.  I even helped with this, so I know first hand.",1401116102
7799939,comment,7799524,7799923,14,0,jhh,,,"This just seems like an ad hominem attack. Just because the author works at Microsoft does not mean that he is speaking for Microsoft or talking on their behalf.",1401116098
7799938,comment,7799524,7799909,6,0,neals,,,"So what is this strings vs bytes thing all about?",1401116084
