ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
315042,story,,,1,0,parenthesis,"Police close file on BT's Phorm trials",http://news.bbc.co.uk/1/hi/technology/7634210.stm,,1222361986
315041,story,,,1,0,soundsop,"Taming Trees: B-Trees",http://www.devx.com/dotnet/Article/38097,,1222361962
315040,story,,,10,7,soundsop,"Five Programming Books I Couldn't Survive Without",http://retrocode.blogspot.com/2008/09/five-programming-books-i-couldnt.html,,1222361947
315039,comment,314941,314966,0,0,biohacker42,,,"$50K is a lot of money! Can any household still be considered poor with $49K a year?",1222361929
315038,story,,,17,7,terpua,"Entrepreneurs and...Hey, There's A Shiny New Thing",http://onstartups.com/home/tabid/3339/bid/6739//Entrepreneurs-and-Hey-There-s-A-Shiny-New-Thing.aspx,,1222361907
315037,comment,314941,314941,0,0,dangoldin,,,"I don't see how this is different than any of the other ""Non Hacker News"" stories yet this one gets approval. What's up?",1222361897
315036,comment,314941,314941,0,0,maxklein,,,"A monocle, a cape and a vizier. Then I'll do whatever he tells me to do with it.",1222361845
315035,comment,314941,314941,0,0,steveplace,,,"Remember, 700B pays for around 400 space shuttles.<p>Just to give a sense of scale.",1222361844
315034,comment,314830,314830,0,0,Jem,,,"I have the benefit of having enjoyed the best (and worst) of both worlds.<p>When I was 13 I had a crappy old PC that I used to take apart and fiddle with. When it bust altogether, I pretty much forgot about computers.<p>I reached 14, I lost my brother, and as I watched my family crumble I turned to drinking and smoking weed. Yes, at 14. I hung out with the wrong crowd, I did things I shouldn't have and I spent my school time living up what was deemed the ""ideal"" social life by my peers.<p>A year or so later I got really in to computers again. I started making web pages; I got a new (old) desktop which I tweaked up and geeked out on. I progressed from HTML and CSS to PHP (and yeah, I know that PHP has a bad rap amongst most hackers here, but I like it), spent all my time in IT at school etc. I gently progressed in to a real computer nerd.<p>Looking back now, I can honestly say that the time I ""wasted"" messing about with computers, teaching myself how to code, etc.. they were the best of my teenage years, and I have no regrets on how I spent my time. It is who I am, I enjoy doing what I do. I wouldn't change for anyone.",1222361818
315033,comment,314887,314887,0,0,biohacker42,,,"Are people up-voting this because they think it is funny, or because they think it's real?<p>It's neither.",1222361812
315031,story,,,10,8,omarish,"Rebuttal to ""A hacker's loneliness"" / Part II",,"You guys realize that getting laid and writing good code and loving what you do are not mutually exclusive.<p>Just like how you taught yourself code, go learn to dress well. Learn how to be interesting. Learn to be the norm; there's no shame in that.<p>Talk about what you love. Have passion. It's really not that hard.",1222361770
315030,comment,314887,314911,0,0,jbenz,,,"This an older article from WIRED (March 2007).  A writer was able to buy votes to a lame, made-up blog post.<p><a href=""http://www.wired.com/techbiz/people/news/2007/03/72832"" rel=""nofollow"">http://www.wired.com/techbiz/people/news/2007/03/72832</a><p>I'll try to find something newer.",1222361732
315029,comment,314887,314911,0,0,nickb,,,"Digg specific... <a href=""http://www.wired.com/techbiz/people/news/2007/03/72832"" rel=""nofollow"">http://www.wired.com/techbiz/people/news/2007/03/72832</a>",1222361711
315028,comment,314941,314941,0,0,yaj,,,"Shift 3rd/4th world countries to 1st/2nd world.",1222361694
315027,comment,314941,314941,0,0,schtog,,,"surfing-equipment + house on hawaii ~ 6million$<p>baller-life-style-money: 10$million.<p>my own scientific/tech projects, 1billion.<p>rest i would donate to various scientifc rpoject sand charity.",1222361667
315026,comment,314941,314941,0,0,drhowarddrfine,,,"Put it in the bank.",1222361642
315025,comment,314560,314864,0,0,biohacker42,,,"Agile does not necessitate pair-programming. 
XP does, XP is more of a religion.<p>Accountants, like almost all service businesses, deal directly with customers and tend to have relative short iterations because you can't delay paying your taxes for ever.<p>So ""user stories"" and iteration are in fact very common things you can find not just in agile software development, but almost anywhere.<p>It's not that Agile is <i>that</i> great, it's that it is <i>that</i> much better then Waterfall.",1222361629
