ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
9640750,comment,9639963,9639963,0,0,dmgbrn,,,"This is all true, and it&#x27;s wonderful!<p>I fired my previous employer for unethical behavior.  They told me to settle down and act my age, so I responded with my two weeks notice, at which point the asked me to leave immediately.<p>The following job search consisted of one phone call to a friend who was working on a promising startup.  The job search was a bit of luck of course.  It usually takes me at least a day or two and multiple phone calls, emails, and messages to find a new position.",1433181592
9640749,comment,9639624,9640551,0,0,ars,,,"> The world can not all live like Americans.<p>People say this all the time, but it&#x27;s simply not true. There is no limit to our resources because they can be recycled endlessly. The atoms don&#x27;t wear out.<p>The only input necessary is energy, and we are working hard to make that cheaper and cleaner.",1433181590
9640748,comment,9637409,9638202,0,0,fennecfoxen,,,"This, incidentally, is why people in China riot about inflation from time to time: if you have to support yourself and several family members, you&#x27;d better have yourself a lot of savings, but it&#x27;s <i>really hard</i> when your bank pays negative real interest rates. (And what&#x27;s your alternative to the bank? Invest in the property bubble? Ha!)<p>Then the banks loan out this savings to the party&#x27;s preferred business partners (still at negative real interest rates) which can be incredibly profitable (cheaper-than-free money will do that) and spend their wealth on a privileged few.<p>Some day it&#x27;s all going to come crashing down (and if push comes to shove, the property rights of foreign investors will probably be pretty low on the priority list).",1433181582
9640747,comment,9639007,9639007,0,0,SteveMorin,,,"SEEKING FREELANCER - San Francisco<p>We&#x27;re a BigData company looking for a Systems/DevOps girl/guy with some exposure to Hadoop ecosystem.  Other technologies used are ansible, nagios, ganglia, openstack.<p>It&#x27;s a fulltime 6 month contract till the end of the year and must be local on site in downtown SF.<p>If your interested please email me (Steve Morin) your resume at smorin at nventdata.com",1433181580
9640746,comment,9638748,9640710,0,0,chollida1,,,"This has been pretty thoroughly debunked.  I don&#x27;t really think this ever happened.  There is just way too much uncertainty and risk to ever get an edge.<p>Remember HFT worship at the alter of the law of large numbers, meaning they get a 51% edge and ratchet up the frequency.  So a typical strategy might be 48% profitable, 40% wash and 12% unprofitable.<p>I took  a stab at explaining why here:<p><a href=""https://news.ycombinator.com/item?id=9191473"" rel=""nofollow"">https://news.ycombinator.com/item?id=9191473</a><p>If you can walk me through a situation where this works then let me know, because Michael Lewis certainly tried and failed:)<p>0+ orders on the other hand, now that was a profitable strategy while it lasted:)",1433181570
9640745,comment,9639939,9640124,0,0,melling,,,"Can you skip the snarky comment and explain why this kind of contest is bad?  To me it seems like a great idea for everyone.  The contestants:<p>1. Can win money<p>2. Gain exposure<p>3. Network with other contestants<p>4. Potentially get more funding",1433181567
9640744,comment,9639963,9640543,0,0,jkyle,,,"This is highly prone to speciousness. A 5 year old may not have benefited from a system as much as a 50 year old...but how much of that is a reflection on the fact that they&#x27;ve only been in the system 5 years?<p>Long term benefits are part of the negotiation. That some have been around long enough to realize those benefits while others are still working towards seeing them vested is not an indication that one is draining from the other.<p>Unemployment sucks for younger generations in the developed world because we just had a huge economic bust...of course it&#x27;s easier to keep a job then to get a job. You&#x27;ve already proven yourself.",1433181565
9640743,comment,9639975,9640636,0,0,stanleydrew,,,"I&#x27;ve never paid money for TSA Pre-check. The airline I&#x27;m flying just sometimes puts it on my boarding pass.<p>If there were a way to pay money I definitely would though just to get it every time guaranteed. Where should I send the ckeck?",1433181545
9640742,comment,9638748,9640604,0,0,sseveran,,,"He could be saying but if so its not true. RegNMS trading is a thing. Latency arbitrage is also a thing. There are also a wide variety of strategies that may exploit the idiosyncrasies of a specific exchange. Multiple venues, while useful and common, are not needed in all HFT strategies.",1433181544
9640741,comment,9639496,9640550,0,0,plorkyeran,,,"> All PyPy customers use Python 2<p>Well yes, your customers will generally pay for the product that actually works and is useful now, and not the experimental and incomplete one that&#x27;s several versions behind.",1433181533
