ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
9489511,comment,9489480,9489480,0,0,jp_sc,,,"A pre-typed command (or a README?) could be useful in the demos",1430776792
9489510,comment,9488585,9488585,0,0,dragonfax,,,"Love the cover art",1430776769
9489509,comment,9488532,9489363,0,0,iammyIP,,,"<a href=""http://www.fractalforums.com/"" rel=""nofollow"">http://www.fractalforums.com/</a> could be a start",1430776752
9489508,comment,9488964,9488964,0,0,acconrad,,,"The most important thing here is to set clear expectations - particularly how much time will eat up out of your relationship and for how long. I made this mistake when I tried to build my first startup and caused my relationship at the time to fail.<p>I never informed my partner that my side projects would take up days of the week, and because I didn&#x27;t set up how much time it would take and when it would happen, I would tend to overwork on side projects and cut out more and more time until we spent less than 1/2 the time we used to together, and that, in part, caused irreparable damage to the relationship.<p>Now when I work on side projects or freelancing, I explicitly set my hour limits and when they happen so they don&#x27;t infringe on my relationship, nor reduce the quality of my work. That expectation from myself has kept my personal life intact as well as my professional life.",1430776744
9489507,story,,,1,0,eatonphil,"Making Your Mark (When Everyone Else Is Making Theirs)",http://blog.eatonphil.com/2015/01/01/making-your-mark-when-everyone-else-is-making-theirs/,,1430776700
9489506,comment,9489098,9489098,0,0,jobu,,,"<i>&quot;Like the 21-foot rule, many current police practices were adopted when officers faced violent street gangs. Crime rates soared, as did the number of officers killed. Today, crime is at historic lows and most cities are safer than they have been in generations, for residents and officers alike. This should be a moment of high confidence in the police, said Chuck Wexler, executive director of the Police Executive Research Forum, a law enforcement policy group. Instead, he said, policing is in crisis.&quot;</i><p>Seeing cops with tanks in Ferguson, Missouri has been a wake-up call for many Americans. Fortunately many on the left and the right (<a href=""http://truthinmedia.com/billionaire-koch-brothers-fund-campaign-against-police-militarization/"" rel=""nofollow"">http://truthinmedia.com/billionaire-koch-brothers-fund-campa...</a>) agree that it isn&#x27;t appropriate, so hopefully we will start to see some change.",1430776687
9489505,story,,,2,0,shoeless,"Want to rebuild the economy? Stop obsessing over tech startups",http://www.washingtonpost.com/posteverything/wp/2015/05/04/want-to-rebuild-the-economy-stop-obsessing-over-tech-start-ups/?hpid=z11,,1430776671
9489503,comment,9481313,9484820,0,0,anigbrowl,,,"I know all that, because as I explained, I personally prefer using public transport. But other people have different use cases, and for many of them a car is a superior solution. I don&#x27;t think you have to rely on a car to live in LA, but you&#x27;re not going to enjoy it if you can&#x27;t get to grips with the concept that many people do like cars, for both their utilitarian benefits and their very very obvious function as status indicators in a town built around the entertainment industry.",1430776657
9489502,comment,9486391,9488451,0,0,thwarted,,,"<i>It became clear he had no concept of the ordering of statement. He wrote them like math formulas, and didn&#x27;t understand that they got executed in order.</i><p>We eschew languages like BASIC these days, but I wonder how much BASIC, as available on Commodore machines, the Apple II, or even some graphing calculators, helped communicate this concept.  I know I didn&#x27;t have any problem understanding that when moving to languages that don&#x27;t have line numbers (although, I did have trouble moving from the full-screen interactive editing on the Commodore to editing &quot;files&quot; as &quot;the program&quot; vs files being a &quot;snapshot&quot; of the program), and I&#x27;ve had the same experience with people who couldn&#x27;t grok statement ordering.  BASIC with its line numbers and simple loops with GOTO may continue to be good first programming languages because it helps with these concepts.",1430776634
9489501,comment,9488368,9488368,0,0,tblomseth,,,"My piece of advice would be to track any intervention you might choose to implement. Find some indicators that are personal and can tell you whether any given intervention is working or not.<p>I have no personal experience with depression. However, I&#x27;ve used self-tracking to improve my allergies cf. <a href=""http://quantifiedself.com/2014/03/thomas-christiansen-learning-60000-observations/"" rel=""nofollow"">http://quantifiedself.com/2014/03/thomas-christiansen-learni...</a>.<p>I would also look a bit broader than just your mental state e.g. how are your other bodily functions running. Depressive states might be a signal from your body about something that&#x27;s amiss in the layers below and/or in your environment.",1430776606
9489500,comment,9488532,9488532,0,0,ldom66,,,"Wow this is really, really impressive. Every little detail of the app and the rendering is finely designed and well thought of. There are even god rays and camera aperture settings. I would love to try it!",1430776604
