ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
3902352,comment,3901506,3901506,-4,0,DavidAbrams,,,"WTF is a ""CV""?",1335599981
3902351,comment,3901806,3902033,3,0,nl,,,"Asus Transformer Prime.",1335599973
3902350,story,,,1,0,aw3c2,"How to install Windows 7",http://t-a-w.blogspot.de/2012/04/how-to-install-windows-7.html,,1335599918
3902349,comment,3899992,3899992,1,0,mdoyle,,,thanks!,1335599880
3902348,comment,3902026,3902326,2,0,shock-value,,,"Yes you are right in a way that it looks more ""real"". But real in the sense that you are acutely aware that it is a staged production when viewing it. The author of this article directly addresses this when he says just that, and also notes that it looks like a behind the scenes featurette.<p>I have not seen footage from The Hobbit but I have worked with other dramatic content at high frame rates and I know exactly what the author is describing. It's really gonna bug people if they really do release at 48fps.",1335599840
3902347,comment,3901506,3901506,9,0,SeoxyS,,,"What's the advantage of using something like LaTeX for a CV? The point of a a resum is purely to make you look good, and as such you'd be much better off making a PDF using a real layout tool (like InDesign). You want your resum to be friendly and attractive, you want to stand out from the pack, and to use typographical design principles to make any viewer like your CV more without even realizing why.<p>Btw, here's my resum, for reference: <a href=""http://kenneth.ballenegger.com/dl/resume2012.pdf"" rel=""nofollow"">http://kenneth.ballenegger.com/dl/resume2012.pdf</a>",1335599834
3902346,comment,3901806,3901918,1,0,ZeroGravitas,,,"As someone on the lookout to buy an ARM based netbook or web tablet for a while before the iPad existed, I'd say the chip lock-in was another monopoly that the iPad escaped but gets less attention than it should.<p>Every time I read a headline about how much money Apple are making, I reflect on how much pent up demand there was for years, held back by the Wintel (and IE) monopolies.",1335599781
3902345,story,,,1,1,lucasts,"Is Web Dev in the right path?",http://lucas-ts.com/2012/04/12/web-dev-is-in-the-right-path.html,,1335599773
3902344,comment,3902272,3902315,1,0,ghshephard,,,"I down voted you because an article on interesting new kickstarter project that pairs up a keyboard with an iPad probably isn't the place to rant against an iPad.<p>Personally, I like my iPad just fine 90% - 95% of the time without a keyboard.  It's light, very unobtrusive in public, and easy to handle on a bus/train/plane.  There are a few times, when I'm on a long trip, or going out for an afternoon and need to write up some material - where the ability to have a keyboard that could also be a case would be awesome; but it's not for the 95% case with me, it's for the 5%.  Right now - I usually end up bringing my MacBook Air and my iPad when I'm in that situation that I'm going to be doing casual browsing (and enjoying the 10 hour battery, awesome resolution) and heavy keyboard input.<p>Give me a half-decent keyboard case and my next social trip will mean I leave my MacBook air at home.<p>And there are many, many, many people who are passive consumers of the internet - and really don't need a keyboard.  And _Lord_ is it wonderful not to have to provide them with any IT support.",1335599725
3902343,story,,,4,0,fuzzythinker,"Comparing Julia and Rs Vocabularies",http://www.johnmyleswhite.com/notebook/2012/04/09/comparing-julia-and-rs-vocabularies/,,1335599699
3902342,story,,,1,0,priya87544,"Hair loss in women",http://www.akclinics.com/blog/hair-loss-in-women/,"There can be several reasons for hair thinning like hairs life span and hormone imbalance. Menstrual irregularities, naturally higher testosterone levels, pre and post menopause, birth control pills, pregnancy, stress, illness, fever etc can trigger one or other kind of hair loss in women.",1335599678
3902341,comment,3847422,3867306,1,0,wolframarnold,,,"Exactly. That's why I'm saying just be yourself. It's the candidate asking the question who starts the mindgame. So long external validation matters more than inner confidence, I'll always look like a mindgame you can't win. And dropping by the office can seem like madness if you're going down the line of outside validation thinking too far. At the other end of the spectrum, it's recon.",1335599666
3902340,comment,3900224,3901625,1,0,fffggg,,,"One letter strings evaluate as true. This would only be false for a last name comprised of the single digit '0'",1335599652
3902339,story,,,1,0,nativeblogger,"7 ways to get your website noticed",http://nativeblogger.com/2012/04/7-ways-to-get-your-website-noticed/,,1335599637
3902338,comment,3902272,3902315,2,0,splatterdash,,,"I agree with you and I just wanted to add something.<p>I'm purely speculating, but I think they are appealing to the wider audience because of the 'cool' factor. They've been successful because of the way Apple positions the device. It's just a cool toy made by a company with a cult following. You use it to impress your friends, your coworkers, and probably because you want everyone else to think you're a geek that's into the latest tech. In short, it's a status symbol.<p>It doesn't offer anything new in terms of functionality. Everything you want to do in an iPad, you can also do with a modern laptop. Ok, laptops can't do touch screens, but I'll argue that it's not really novel functionality. In fact, as Brydge's Kickstarter campaign has shown, it comes with <i>reduced</i> functionality.<p>Let me stress that I'm not belittling the device. I'm sure it also has a lot of great technological feats packed into it. Only that it's secondary to the social/marketing factor.",1335599589
3902337,comment,3902011,3902011,1,0,queensnake,,,"Well it's lo-tech, and no visualization, but, I use a wiki. It allows you to markup, pull out concepts and facts and easily linkify everything. Better than plain text at least.",1335599579
3902336,comment,3902026,3902199,1,0,drucken,,,"Very informative, thank you.<p>In short, to me, all this effort is being driven by studio's trying to justify cinema ticket prices by offering big films shot for 3D. Even though the most profitable and successful films have always been 2D and in general movie watchers avoid 3D!<p>In addition, perhaps Jackson would rather be known for pioneering work than making yet another good film.<p>Given the choice in aesthetic for film has been driven by culture rather than technology for much of its 103 years, the parties concerned are all taking a big risk...",1335599532
3902335,comment,3899507,3900788,2,0,batista,,,"A lot of companies won't use any code in GPLv3.<p>""Legally capable"" is one thing, ""completely out of any possible problems in the future"" is another.",1335599485
3902334,story,,,2,0,zengr,"Anders Breivik: 40,000 Norwegians mock killer with 'Marxist' song, with video",http://www.leaderpost.com/news/Some+Norwegians+gather+sing+song+Anders+Behring+Breivik+hates/6521469/story.html,,1335599474
3902333,comment,3902026,3902185,1,0,shock-value,,,"Actually I think it is useful to compare. Based on what I've seen, the interpolation tech is actually pretty good as long as there isn't too much movement on screen. And yet, in dramas especially, it still severely cheapens the look and makes everything look ""unnatural"". (Even when there is only smooth movement which is well interpolated by whatever algorithm it is using.)<p>So what I am saying is, I actually think it is simply the higher fps that accounts for the distracting nature of these tvs (when interpolation is on). Not so much the actual interpolation itself, as I can only rarely detect artifacts.",1335599467
3902332,comment,3902170,3902202,11,0,fructa,,,"Your conjecture that GitHub was initially avoided by people who don't use Ruby because it's written in Ruby is pointlessly divisive and quite silly.",1335599454
3902331,story,,,1,0,askatma,"Startups & Co-founder dating",http://askatma.com/2012/04/27/co-founder-dating-what-you-should-know/,,1335599400
3902330,comment,3898837,3898837,1,0,aw3c2,,,"This is the one thing I envy you for in USA politics, you get to see who voted for what. We do not have that in Germany.",1335599338
