ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
OEP,0,1,0.0,0,1,,1291243305,
OedipusRex,0,182,2.94118,11,53,,1382908449,1438804932
Oenotria,0,96,0.0,1,7,,1290708053,
Oestrogen,0,489,0.0,15,3,"Interaction designer and world improver.<p>http://unvisualdesign.tumblr.com",1295803321,1430318223
oe,,141,2.18182,1,101,,1289389224,1452854035
oeN,,1,0.0,0,1,,1378903079,1450207814
oeabpag2v,0,1,0.0,1,0,,1312622902,1452895688
oeb,0,1,0.0,0,3,,1371205872,1452913702
oebi,0,1,0.0,0,1,,1392795149,1452921603
oebs,,10,0.0,0,18,,1351789331,1450207814
oedipa,0,2,0.0,0,1,,1289162356,1452890538
oedipamaas,0,1,0.0,0,1,,1378935628,1452916299
oedj,0,1,0.0,0,1,,1384867732,1452918827
oeeve,,2,0.0,1,0,"Adventures in stupedering!",1413453029,1450207814
oefrha,0,1,0.0,0,0,,1435774174,1453170363
oehme,0,1,0.0,0,1,,1406096220,1452927911
oehokie,0,1,0.0,0,0,,1403195715,1453171269
oeifjaoid,0,2,0.0,0,1,,1345002915,1452905299
oelang,,105,0.0,1,24,,1347025381,1450207814
oelavj,0,1,0.0,0,0,,1447961635,1453174034
oelequud,0,2,0.0,0,0,,1430645135,1453168725
oelewapperke,0,-1,1.0,1,108,,1303742140,1452893517
oellegaard,,1704,4.20455,30,232,"http://kristian.io/<p>Python Developer, System Administrator, Startup Founder",1324047116,1451679953
oellenbogen,,136,0.0,16,2,"Mix of: [Entrepreneur, Engineer, problems junky, code monkey].",1359878021,1450207814
oelmekki,,500,1.65909,4,258,"Olivier El Mekki, founder of Erudit.<p>https://angel.co/olivier-el-mekki",1308121233,1451051095
oemcargps,0,1,0.0,5,0,,1316420062,1452896759
oemcompany,0,1,0.0,1,0,,1390968386,1452920734
oemera,,392,3.0,9,143,,1283122609,1450207814
oemerax,0,49,0.0,0,0,,1421850211,1453166289
oemfoe,,2,0.0,0,1,,1409425291,1450207814
oemta,0,2,0.0,0,3,,1228720848,1452887114
oengbenbd3s,0,1,0.0,14,0,,1311977731,1452895452
oenoneNY,0,5,0.0,0,1,,1345735694,1452905507
oenvoyage,0,1,0.0,0,0,,1424597009,1453166481
oepn,0,6,0.0,0,1,,1276737651,1452889344
oeqa,0,15,0.0,0,4,,1386422582,1452919281
oerb,,1,0.0,1,2,"chaosdorf.de, pythonist",1370455210,1451034950
oerdnj,,80,0.0,2,5,"[ my public key: https://keybase.io/oerdnj; my proof: https://keybase.io/oerdnj/sigs/JzAjseQwyxiDtQFsFCuN26yQAtitzRSWVZ7D3JCiTwY ]",1408560132,1450207814
oergiR,0,9,0.0,0,0,,1433320440,1453169926
oerhoert,,6,0.0,0,1,"UX, code, videogames, pain, beauty.<p>http://kentwilliam.com",1293625174,1450207814
oes0,0,0,0.0,0,2,,1355151243,1452907905
oesmith,,237,2.59091,4,33,,1317993681,1450207814
oespirit,0,1,0.0,0,1,,1380652622,1452916970
oetting,0,1,0.0,1,0,,1380146907,1452916851
oeufsaujambon,0,4,0.0,0,4,,1358472858,1452908875
oevbuoma,,2,0.0,1,2,,1406215496,1450207814
oever,,245,0.0,14,48,,1382621837,1452297192
oevi,,39,0.0,3,18,,1376593089,1452534500
oewete,0,3,0.0,1,7,,1293879397,1452891993
oewolf,0,231,1.0,6,22,,1292960798,1452891944
oeysamboe,0,2,0.0,0,0,,1421063212,1453165463
oezaxs,0,3,0.0,0,2,"Just made an account so I could input what i'm thinking.",1353622772,1452907494
oezheng,0,1,0.0,0,0,,1422240372,1453165561
