ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
1235371,comment,1235153,1235317,0,0,michael_nielsen,,,"Olson didn't win the Nobel Prize. You're thinking of Elinor Ostrom's book ""Governing the Commons"", which extended Olson's work considerably, and which led to Ostrom's prize.<p>Thanks for the tip on Olson's 1984 book, which I'd never heard of.  Curiously enough, while reading Shirky's article, my mind kept turning to Olson and Ostrom, and their work on collective action.",1270155581
1235370,comment,1235153,1235317,0,0,easp,,,"Thanks for the reference.  I've long wondered if a societies collapse could be precipitated by an excessively complex system of legislation.",1270155571
1235369,comment,1235167,1235350,0,0,yumraj,,,"Don't let your creativity be destroyed by Apple.<p>I'm sure someone will jailbreak it by the time someone builds this.",1270155553
1235368,story,,,26,0,danielha,"Disqus is hiring a senior operations engineer (San Francisco)",http://disqus.theresumator.com/apply/RwUhQj/,,1270155539
1235367,comment,1234320,1234525,0,0,jnovek,,,"How is being so popular that you can churn your product out fast enough a disaster?  Sounds like a resounding success to me!<p>If you make something that people are desperate to own, time heals all wounds.",1270155535
1235366,comment,1234541,1234867,0,0,brianobush,,,"I have said this before, and I will say it again: There are other things than just boobs on the internet. My primary job function is to build classifiers to categorize Internet content and yes, porn is a big one, but not the only one. BTW, most of the porn that people are concerned about is not nudes, but hardcore porn, rape simulation, U15 stuff, child porn, etc. Also there is the category of illegal content (child porn) that is just ruins your day to find. Other categories that parents are commonly concerned with is violence, drugs, abortion, etc.",1270155535
1235365,comment,1226181,1232894,0,0,jpd,,,"I agree, it's supposed to be a joke claiming that 'needless' is a needless word. I'm saying I do not understand the joke because I believe 'needless' is actually a necessary part of that sentence.",1270155482
1235364,comment,1234977,1235080,0,0,maigret,,,"Exactly! That probably saved them from billion $$$ fines. Seen from this angle, this is a total success.",1270155398
1235363,comment,1234644,1234644,0,0,CoryMathews,,,"maybe my memory has failed me but, didn't microsoft just get sued over supporting this not to long ago and had to change it or they would no longer be able to sale office?",1270155343
1235362,comment,1226181,1227498,0,0,jpd,,,"I disagree, I find ""omit all words"" to make as little sense as ""omit no words"". Personally, I find it more likely to default to ""omit some words"". This, of course, does not describe the type of words we should be omitting, but rather that there exist words that we should omit. Saying ""omit needless words"" does describe the type, adding more information which is not there otherwise, making it a ""needed"" word.",1270155291
1235361,comment,1234644,1234897,0,0,MichaelGG,,,"Thanks for clearing that up. On rereading it, you might be right that he meant it was unrealistic for anyone to think they'd actually do it - not that the timeframe was off.",1270155247
1235360,story,,,1,0,MikeCapone,"The First Pre-Production Chevy Volt Rolled Off the Assembly Line",http://www.treehugger.com/files/2010/04/first-pre-production-chevy-volt-rolled-off-assembly-line.php,,1270155167
1235359,comment,1235153,1235324,0,0,Periodic,,,"The interface and outward appearance is simple, but the internals most certainly are not.  There are still hundreds of components from dozens of manufacturers combined to make a physical product.  In the case of the iPhone there's one of the largest mobile operating systems on there.<p>Computer chips are getting more and more complex as well, now with more levels of caching and inter-core communication.<p>I think we have a long way to go before we get simpler computers, but that does cause us to wonder if we will get to the point that they are just too complex.",1270155069
1235358,comment,1235153,1235274,0,0,anamax,,,"> People often confuse creative destruction with societal collapse.<p>If you're in the buggy whip biz when it fails, its destruction is a form of societal collapse.<p>Remember - a recession is when your neighbor loses his job.  A depression is when you lose your job.<p>People fight to keep their ""phony, baloney jobs"" because said jobs are their jobs - the phony, baloney is external to them.",1270155059
1235357,comment,1235319,1235351,0,0,timmyc,,,"How much liability can there be?  Following all copyright/trademark laws and such..",1270155036
1235356,story,,,92,36,smanek,"Why MBAs fail at Entrepreneurship",http://stuwall.tumblr.com/post/489661696/why-mbas-fail-at-entrepreneurship,,1270155029
1235355,comment,1234541,1234867,0,0,reduxredacted,,,"I don't think it's a good solution for internet filtering, however, I think it's a good solution to prevent accidental porn exposure (APE).<p>I work in a rather open office environment now.  Our management has no problem if employees blow off some steam by surfing to a site that might not be work related as long as its not excessive (just like they don't punish people for going to the break room to get a candy bar from a machine, or going outside to smoke).<p>However, click the wrong link and end up with porn (or something otherwise seriously inappropriate for a typical work environment) and you get noticed very, very quickly.",1270155012
