ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
7882582,comment,7882179,7882179,1,0,pepijndevos,,,"Is it normal for text adventures you just have to try random stuff?<p>I had no clue how to get design.\nI thought I had missed a clue from the developer maybe.\nTurned out I just needed to enter a command that was not introduced before, or listed in the help page.",1402567139
7882581,comment,7881881,7881881,1,0,omonra,,,"Mr. and Mrs. Daisy were not amused and plan to sue",1402567130
7882580,story,,,3,0,tim333,"The Infinite Space Between Words",http://blog.codinghorror.com/the-infinite-space-between-words/,,1402567089
7882579,comment,7882211,7882529,15,0,nly,,,"Total language displacement is a pretty rare event, and technical superiority isn&#x27;t even a prerequisite.<p>And I happen to like having a preprocessor.",1402567054
7882578,comment,7882134,7882134,1,0,rahimnathwani,,,"I was in an airline lounge at SFO a few days ago.  Alongside the regular power sockets were USB charging outlets.  I tried to use one to charge my iPhone, but the current (or voltage?) was so unstable that my touchscreen went haywire and the device was unusable, just like when using super-cheap mains->USB adapters.",1402567042
7882577,story,,,4,1,cjohansen,"Functional UI Programming (React, ClojureScript, live coding)",http://vimeo.com/user18356272/review/96639841/5556b7d3ab,,1402567038
7882576,comment,7879842,7882226,1,0,ramoq,,,"At the moment I just scan for the most commonly known sources of tracking and then things that seem to be tracker images. The logic is quite simple, definitely can be improved to pick up a lot more tracking sources. But for now it works quite well :)",1402566973
7882575,comment,7882211,7882557,15,0,dbaupp,,,"Rust&#x27;s internal ABI (i.e. used for a default `fn foo() { ... }`) is not at all stable/usable/specified.<p>However, you can easily define a function with a C ABI (and a non-mangled symbol name):<p><pre><code>  #[no_mangle]\n  pub extern &quot;C&quot; fn foo() { ... }\n</code></pre>\nI&#x27;m not sure if you regard this as better than C++&#x27;s situation.",1402566956
7882573,comment,7877757,7882263,1,0,MattBearman,,,"To be fair, I only did that one test, maybe it just happened to be something I already knew well :) I&#x27;ll be interested to see how it goes when you have some Ruby (or even PHP) tests on there.",1402566909
7882572,story,,,1,0,stared,"Plunker is down",http://plnkr.co/,,1402566879
7882571,comment,7841443,7845486,1,0,fuzzix,,,"I said reduce. Why would I want a Google login tracking me about the place?",1402566824
7882570,comment,7882211,7882525,7,0,endgame,,,"Free software reimplementation projects go to great pains to avoid code written by people who have looked at proprietary source. I hope this rewrite extends the same courtesy.",1402566776
7882569,comment,7881958,7882265,4,0,vertex-four,,,"Until extremely recently, it&#x27;s been near impossible to get people to listen to your album without it being in a store. These stores have traditionally had gatekeepers in the form of record labels. It doesn&#x27;t seem that low if the question is &quot;how many songs have been written under record labels which have access to the stores&quot;.",1402566761
7882568,comment,7879756,7882549,1,0,thegeomaster,,,"Thanks! I&#x27;m sure no one before has even <i>thought</i> that &quot;Javascript sucks, and HTML sucks equally&quot;, but here you are, enlightening with your rock-hard arguments and all.",1402566717
7882567,comment,7880723,7880723,1,0,known,,,"&quot;Who&#x27;s right doesn&#x27;t matter, who has the power does&quot; --Thucydides",1402566694
7882566,comment,7882404,7882564,1,0,CMCDragonkai,,,"Not really.",1402566689
7882565,comment,7851526,7851682,1,0,llcoolv,,,"im young :)",1402566667
7882564,comment,7882404,7882404,1,0,mooism2,,,"Do you mean something like <a href=""http://en.wikipedia.org/wiki/Phone_number_portability"" rel=""nofollow"">http://en.wikipedia.org/wiki/Phone_number_portability</a> but more general?",1402566629
7882563,story,,,2,0,T-A,"Startup Unicorn",http://startupunicorn.com/,,1402566610
7882562,comment,7882025,7882025,0,0,NKCSS,,,"Very cool idea :)",1402566563
7882561,comment,7882270,7882349,3,0,binocarlos,,,"that yellow just burned a hole in the back of my eyes",1402566517
7882560,comment,7881960,7882221,3,0,akx,,,"Well, it (slightly) predates D3, for what it&#x27;s worth:<p><a href=""https://github.com/dhotson/springy/commits/master?page=4"" rel=""nofollow"">https://github.com/dhotson/springy/commits/master?page=4</a>\n<a href=""https://github.com/mbostock/d3/commits/master?page=91"" rel=""nofollow"">https://github.com/mbostock/d3/commits/master?page=91</a><p>If all you need is spring layout without the rest of D3, Springy might be a better fit.",1402566504
7882559,comment,7882134,7882420,2,0,crashandburn4,,,"I have nothing other than personal lock-in (nexus 5) to Qi. that being said, I don&#x27;t know if there are any phones that have powermat integrated, does anyone know of any?",1402566473
7882558,story,,,1,0,bilawal,"Improving email address input",http://bilaw.al/improving-email-address-input,,1402566467
7882557,comment,7882211,7882211,11,0,cageface,,,"How stable and usable is Rust&#x27;s ABI? Can I easily call Rust code from C or other languages that can easily call C functions? I ask because I think this is one area in which C++ has really failed. C++ is a bad language for building frameworks and libraries for consumption from other languages because interfacing with C++ code is such a nightmare. I&#x27;d hope any language that aspires to displace C++ has a better story here.",1402566462
7882556,comment,7881958,7882536,2,0,moystard,,,"Got surprised as well to see that they were proposing me subscribe to Prime when I have been a Prime member for more than a year. Realised that I was on the US website, and the music streaming does not seem to be accessible for UK customers.",1402566400
7882555,comment,7881692,7882217,2,0,TheOtherHobbes,,,"Better than Gawker style: &quot;The finance industry decided to screw over the nation&#x27;s university students. You won&#x27;t believe what happened next!&quot;",1402566348
7882554,comment,7880723,7881454,2,0,jacquesm,,,"Beats the crap out of &#x27;ordained by the heavens&#x27;. What never ceases to amaze me is that good solutions to lots of things have been found over time and were lost again.",1402566320
7882553,comment,7882512,7882512,1,0,moo,,,"Same article 40 minutes ago, <a href=""https://news.ycombinator.com/item?id=7882361"" rel=""nofollow"">https://news.ycombinator.com/item?id=7882361</a>",1402566283
7882552,comment,7881925,7882448,1,0,lmm,,,"> The wifi on the replacement Kindle stopped working though... been too lazy to figure out why though.<p>It&#x27;s worth raising that within the first year, after that they stop doing free replacements.",1402566223
7882551,comment,7882134,7882402,2,0,Shivetya,,,"Obviously someone high enough up in Starbucks to influence the position. Either they used it prior or were given enough incentive to use it now.",1402566210
7882550,story,,,2,0,piokuc,"N Korea: Leader scolds 'inaccurate' weather forecasters",http://www.bbc.co.uk/news/blogs-news-from-elsewhere-27792721,,1402566108
7882549,comment,7879756,7880545,5,0,CmonDev,,,"&quot;that we can all use shared technology that is interoperable instead of doing this 1990s flashback of Obj-C here and Java there thing&quot;<p>1. JavaScript and HTML are themselves a 1990s flashback.<p>2. We want a choice of technology, not being pigeonholed into one &quot;good for all&quot; thing. JavaScript sucks, and HTML sucks equally.",1402566105
7882548,comment,7881925,7881925,5,0,lilt12345,,,"Yodel (especially poor UK courier) lost an expensive item once. Once I got through to a human at Amazon, they took me at my word and the replacement item was on its way that day. A few weeks later the original turned up, looking very battered.<p>The amount of goodwill I have towards Amazon because of that experience is tremendous. I took out Prime, and I look there first for everything now. I can absolutely see that being worth the shrinkage.",1402566083
7882547,story,,,1,0,andyjones,"Time Tracking in the New Basecamp",https://everhour.com/blog/everhour-keep-time-tracking-new-basecamp/,,1402566042
7882546,comment,7880676,7880676,1,0,piokoch,,,"That&#x27;s very interesting indeed.<p>In the old days Microsoft was creating an icon and everybody used that, otherwise people would not understand what a given button is doing. Web and mobile devices with multiple os changed all that.<p>Another thing is how much iconized guis are. In theory it would be enough to create an icon with &quot;Share&quot; written on it. Nobody even tries that now, not even icon + text.<p>This is also a beautiful example of how much text/speech is sometimes more powerfull then picture. It seems that not always &quot;picture is worth a thousand words&quot;.",1402566037
7882544,comment,7877203,7879710,1,0,Daviey,,,"So, is it a good or bad thing?",1402565989
7882543,comment,7882211,7882464,3,0,drsintoma,,,"Go produces fat binaries, probably not what you expect from this tiny tools. I even believe some linux distributions forbid packages that don&#x27;t use shared libraries.",1402565978
7882542,comment,7882404,7882499,1,0,CMCDragonkai,,,"There&#x27;s a company trying with an App right now. <a href=""https://news.ycombinator.com/item?id=7882494"" rel=""nofollow"">https://news.ycombinator.com/item?id=7882494</a><p>But. I think the only true way of making this successful is an open source effort. And an ability for people to setup their own DNS servers. Perhaps I shall investigate Namecoin.",1402565971
7882541,comment,7882270,7882270,1,0,NKCSS,,,"This is the most sexy web app I&#x27;ve seen this year; I LOVE that design!",1402565963
7882540,comment,7880676,7882091,2,0,retroencabulato,,,"Agreed. I always mess up the android text actions.",1402565956
7882539,story,,,1,0,piokuc,"Russian boy invents 'lard-o-meter' to measure pig fat",http://www.bbc.co.uk/news/blogs-news-from-elsewhere-27792713,,1402565915
7882538,story,,,6,0,guardian5x,"New study suggests patent trolls really are killing startups",http://arstechnica.com/tech-policy/2014/06/new-study-suggests-patent-trolls-really-are-killing-startups/,,1402565914
7882537,story,,,1,0,kevdevnull,"RLDM – Home for the Reinforcement Learning and Decision Making Meetings",http://rldm.org/,"Over the last few decades, reinforcement learning and decision making have been the focus of an incredible wealth of research spanning a wide variety of fields including psychology, artificial intelligence, machine learning, operations research, control theory, animal and human neuroscience, economics and ethology. Key to many developments in the field has been interdisciplinary sharing of ideas and findings, yet there is was no single conference that brings brought all these communities together.<p>Executive Committee<p>Peter Dayan\nYael Niv\nJoelle Pineau\nNick Roy\nSatinder Singh\nRich Sutton\nSusan Murphy",1402565905
7882536,comment,7881958,7881958,7,0,ctz,,,"Note that this only applies to US Amazon Prime accounts.<p>If you are an Amazon Prime customer in another region, Amazon will ignore that and ask you to start another Amazon Prime subscription.  But I doubt your second Prime account will actually come with any of the advertised benefits.<p>Which, for an international company with accurate knowledge of my billing address, is misleading and hamfisted.",1402565753
7882535,comment,7881960,7882221,3,0,jschulenklopper,,,"Indeed. See <a href=""http://bl.ocks.org/mbostock/4062045"" rel=""nofollow"">http://bl.ocks.org/mbostock/4062045</a> for Mike Bostock&#x27;s example of a simple force-directed graph including the D3.js code.<p>(BTW, see <a href=""http://bl.ocks.org/mbostock"" rel=""nofollow"">http://bl.ocks.org/mbostock</a> for an impressive collection of visualizations made with D3.js. Impressive both in terms of size of the collection, quality of the code and clarity of the visualizations.)",1402565626
7882534,story,,,1,0,Tomte,"Basic Type 1 Hinting",http://typophile.com/files/hinting.pdf,,1402565615
7882533,story,,,1,0,lormayna,"10 Gigabit hardware capture with no dedicated hardware",http://pfq.github.io/PFQ/,,1402565603
7882532,story,,,1,0,dafreeman,"Animating Line Charts With D3",http://big-elephants.com/2014-06/unrolling-line-charts-d3js/,,1402565594
